location,type,starttime,endtime,coords
Den Haag C.-Utrecht C.,verstoring elders,2015-09-18 12:55,2015-09-18 14:51,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,defecte trein,2015-09-16 16:55,2015-09-16 19:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS/Hoek v H. Strand,sein-en wisselstoring,2015-09-15 07:49,2015-09-15 09:02,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Leiden C.-Den Haag C./Den Haag HS,eerdere verstoring,2015-09-14 09:02,2015-09-14 10:01,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Rotterdam C.-Den Haag HS,defecte trein,2015-09-11 18:32,2015-09-11 19:17,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Rotterdam C.,eerdere verstoring,2015-09-11 17:37,2015-09-11 18:04,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Rotterdam C.,aanrijding met een persoon,2015-09-11 14:34,2015-09-11 17:32,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Dordrecht,meerdere verstoringen,2015-09-09 16:59,2015-09-09 20:12,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Dordrecht-Den Haag C.,seinstoring,2015-09-09 12:21,2015-09-09 15:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,defecte spoorbrug,2015-09-07 09:05,2015-09-07 11:17,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,defecte spoorbrug,2015-09-07 06:49,2015-09-07 09:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C.,eerdere verstoring,2015-09-02 17:45,2015-09-02 21:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C.,verstoring elders,2015-09-01 16:56,2015-09-01 19:35,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,seinstoring,2015-08-31 07:26,2015-08-31 08:28,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Gouda-Den Haag C.,aanrijding met een persoon,2015-08-27 15:41,2015-08-27 18:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS,herstelwerkzaamheden,2015-08-25 01:02,2015-08-25 05:02,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Leiden C.-Den Haag C./Den Haag HS,eerdere verstoring,2015-08-24 22:22,2015-08-24 01:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Rotterdam C.-Den Haag C.,meerdere verstoringen,2015-08-24 18:52,2015-08-24 20:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,seinstoring,2015-08-24 05:54,2015-08-24 06:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Delft-Den Haag HS,seinstoring,2015-08-22 07:09,2015-08-22 09:35,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Dordrecht,eerdere verstoring,2015-08-19 19:22,2015-08-19 21:31,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.,meerdere verstoringen,2015-08-19 15:53,2015-08-19 19:35,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C./Hoek v H. Strand,persoon op het spoor,2015-08-19 14:30,2015-08-19 15:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Rotterdam C.,seinstoring,2015-08-18 08:48,2015-08-18 10:01,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,seinstoring,2015-08-17 15:52,2015-08-17 17:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
"Den Haag C.-Den Haag HS/Leiden C., Leiden C.-Den Haag HS",persoon op het spoor,2015-08-17 05:55,2015-08-17 07:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Leiden C.,herstelwerkzaamheden,2015-08-12 21:02,2015-08-12 21:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,wisselstoring,2015-08-12 09:38,2015-08-12 11:16,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Gouda-Den Haag C.,aanrijding met een persoon,2015-08-10 21:44,2015-08-10 00:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Dordrecht-Den Haag HS,eerdere verstoring,2015-08-10 20:35,2015-08-10 00:12,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
