,11,12,21,22,31,51,61,71,81,82,91,92,101,111,121,122
123,7.0,2.0,35.0,20.0,10.0,3.0,1.0,1.0,48.0,21.0,15.0,3.0,17.0,5.0,10.0,3.0
124,7.0,1.0,33.0,18.0,9.0,3.0,0.0,1.0,44.0,19.0,14.0,3.0,15.0,5.0,8.0,3.0
125,7.0,2.0,33.5,16.0,9.0,2.0,0.5,1.0,39.5,17.0,13.0,3.0,14.0,4.0,8.0,2.0
126,7.0,1.5,32.0,16.0,9.0,3.0,0.0,1.0,38.5,15.5,12.0,3.0,14.0,4.0,8.0,2.0
127,6.0,1.0,31.0,15.0,9.0,2.0,0.0,1.0,39.0,15.0,14.0,2.0,14.0,4.0,7.0,2.0
128,6.0,1.0,31.0,15.0,9.0,2.0,0.0,1.0,37.5,14.0,14.0,2.0,13.0,3.0,7.5,2.0
129,6.0,1.0,30.0,15.0,8.0,2.0,0.0,1.0,40.0,14.0,15.0,3.0,14.0,4.0,6.5,2.0
130,6.0,1.0,32.0,15.0,7.0,3.0,1.0,0.0,37.5,13.0,15.0,3.0,13.0,3.0,6.0,2.0
131,6.0,1.0,28.0,13.0,7.0,4.0,1.0,1.0,38.0,14.5,14.5,2.0,13.0,4.0,6.0,2.0
132,5.0,1.0,28.0,12.0,6.0,2.0,0.0,0.0,38.0,13.0,15.0,3.0,13.0,3.0,6.5,1.0
133,4.5,1.0,26.0,11.0,5.0,2.0,0.0,0.0,35.0,13.0,13.0,2.0,11.0,3.0,5.0,1.0
134,4.0,1.0,23.0,9.0,5.0,1.0,0.0,0.0,32.0,11.0,10.0,1.0,9.0,3.0,5.0,1.0
135,4.0,1.0,20.0,8.0,5.0,1.0,0.0,0.0,30.0,9.0,11.0,1.0,9.0,3.0,5.0,1.0
136,3.5,1.0,19.0,7.0,4.5,1.0,0.0,0.0,26.0,8.0,9.0,1.5,7.0,2.0,5.0,1.0
137,3.0,0.5,16.0,5.5,4.0,1.0,0.0,0.0,24.0,7.0,7.0,1.0,6.0,2.0,4.0,1.0
